0,1
10,823
11,731
9,812
18,755
10,885
10,905
11,881
10,1020
11,1019
10,880
18,769
11,954
10,951
10,885
9,936
10,1003
9,884
9,814
10,974
10,955
11,863
10,963
10,1069
18,874
10,918
11,974
10,1247
11,999
10,1201
10,1444
10,1286
11,1208
10,1237
10,1459
10,1541
10,1367
10,1398
10,1366
10,1513
10,4
9,4
10,4
10,4
10,4
9,4
10,4
9,4
9,4
9,4
9,4
9,4
10,1302
10,1436
10,1408
10,1694
10,1554
11,1609
11,1488
10,1509
10,1519
10,1524
10,1529
11,1535
10,1698
10,1645
10,1610
10,1586
10,1422
10,1496
10,1519
11,1621
10,1569
9,1370
10,1499
10,1345
11,1532
11,1334
11,1334
10,1203
10,1043
10,1296
10,1009
10,1191
11,1089
10,1041
11,987
11,978
10,1067
17,927
10,1026
9,1090
10,1036
9,943
-1,9323
10,1173
17,909
18,954
11,1096
10,1098
18,879
9,895
10,1225
9,925
10,992
9,941
10,997
10,892
17,811
10,970
11,930
18,959
18,886
9,982
18,1104
17,899
10,992
17,934
10,993
17,913
10,1031
9,853
10,894
10,997
10,845
18,796
9,948
10,915
10,791
10,758
10,1029
10,910
11,867
10,895
10,769
18,725
9,748
11,918
17,778
18,883
10,860
11,530
11,636
14,590
11,677
11,669
11,598
12,696
12,579
11,723
12,626
11,612
12,704
11,707
11,671
11,614
11,721
12,631
11,668
12,660
11,629
11,734
11,580
11,630
12,571
11,731
14,680
14,606
11,678
11,588
11,690
12,648
11,621
11,637
11,598
11,777
11,501
11,481
12,574
11,584
14,626
11,621
11,673
12,571
11,537
12,621
11,571
11,691
11,687
11,707
11,587
11,546
11,595
11,239
12,246
11,240
11,217
11,194
11,202
11,223
18,371
12,632
11,595
11,784
16,430
